time,stl1Mean,stl2Mean,stl3Mean,stl4Mean,SKTMean,depth1,srcMean,T2mMean,swl1Mean,swl2Mean,swl3Mean,swl4Mean,TPMean,time,depth2,depth3,depth4
2019/3/10,-1.7131725,-2.04392,-2.4165725,-1.62412,-5.028695,7,2.38E-07,-9.7413225,0.34408951,0.355358125,0.32410431,0.38182068,0.000345972,1,21,72,189
2019/3/11,-1.8894725,-1.859045,-2.2816825,-1.623635,-7.5532675,7,2.31E-07,-10.4972925,0.342395783,0.355102538,0.32411957,0.3817749,0.000807151,1,21,72,189
2019/3/12,-2.912265,-2.4865525,-2.2537275,-1.6196075,-10.9517275,7,2.53E-07,-12.419815,0.341762543,0.354896542,0.32413483,0.381725313,0.001894072,1,21,72,189
2019/3/13,-2.7064275,-2.5289075,-2.3148875,-1.617165,-10.9883325,7,5.96E-07,-12.2468175,0.34137726,0.354705813,0.32414627,0.381679538,0.000732506,1,21,72,189
2019/3/14,-2.42121,-2.4097975,-2.3444825,-1.617225,-9.6954925,7,3.58E-07,-12.303235,0.343727113,0.354541778,0.324165335,0.381637568,0.000352309,1,21,72,189
2019/3/15,-1.887025,-2.066475,-2.30588,-1.616555,-7.7637475,7,7.23E-07,-10.374085,0.3463974,0.354454043,0.3241806,0.3815918,0.000516116,1,21,72,189
2019/3/16,-1.602665,-1.88834,-2.218115,-1.61417,-7.673465,7,6.11E-07,-11.36069,0.347610475,0.354446408,0.324195865,0.381549835,0.001388329,1,21,72,189
2019/3/17,-1.839425,-1.781225,-2.09202,-1.6066025,-10.89906,7,4.99E-07,-10.6584725,0.34659958,0.354454038,0.324214937,0.38150406,0.000983396,1,21,72,189
2019/3/18,-1.5143525,-1.765965,-2.0542675,-1.59727,-6.2157,7,3.87E-07,-8.41045,0.351753235,0.354465488,0.324234005,0.381458283,0.000148413,1,21,72,189
2019/3/19,-1.397595,-1.4496825,-1.9422375,-1.58689,-8.3451325,7,1.94E-07,-7.559635,0.352718355,0.354694365,0.324264533,0.38141632,0.000353601,1,21,72,189
2019/3/20,-1.66785,-1.692575,-1.893075,-1.572245,-8.674325,7,5.36E-07,-8.5602925,0.351539613,0.354850765,0.324295045,0.38137436,0.000176467,1,21,72,189
2019/3/21,-1.6866575,-1.6793225,-1.859075,-1.558015,-7.268255,7,1.88E-06,-9.0717575,0.350582123,0.354980467,0.324344635,0.381328585,0.000502355,1,21,72,189
2019/3/22,-1.1813075,-1.50116,-1.8319475,-1.5430675,-5.1978725,7,8.05E-07,-7.531685,0.351097113,0.355121615,0.3243866,0.381290435,0.000670439,1,21,72,189
2019/3/23,-2.1397125,-1.8186725,-1.7724675,-1.525495,-17.158185,7,6.48E-07,-12.7658325,0.349391937,0.355350495,0.32444,0.38124466,0.00282353,1,21,72,189
2019/3/24,-2.9034175,-2.43284,-1.888805,-1.5116975,-18.7994125,7,1.49E-06,-15.7203375,0.349143985,0.355262758,0.324501038,0.381206518,0.00061642,1,21,72,189
2019/3/25,-3.6077025,-2.8759,-2.077675,-1.50437,-20.587745,7,1.01E-06,-14.9036125,0.349559785,0.355133058,0.324550628,0.38116455,3.41E-05,1,21,72,189
2019/3/26,-3.4874625,-3.119485,-2.290165,-1.5045525,-14.6209425,7,4.32E-07,-10.362535,0.349685675,0.355010988,0.32460785,0.381130218,4.27E-06,1,21,72,189
2019/3/27,-2.1553675,-2.4846825,-2.369905,-1.5100475,-7.6194725,7,2.98E-07,-6.726065,0.356552125,0.35536575,0.324657438,0.38108826,8.62E-07,1,21,72,189
2019/3/28,-0.9851375,-1.59702,-2.24018,-1.5155375,-2.4141125,7,2.76E-07,-4.4112,0.369293213,0.357658388,0.324737553,0.38105011,0.000125064,1,21,72,189
2019/3/29,-0.70673,-1.2312075,-2.014345,-1.51261,-5.0142375,7,4.84E-07,-6.826885,0.367565155,0.359889985,0.324874875,0.38101196,0.002404927,1,21,72,189
